Time,Type,Close_Price,RSI,BB_Lower,BB_Upper,Distance_to_EMA50,High_Volatility
2024-04-23 12:00:00,Bullish Reversal (Valley),2295.57,28.26,,,-46.81238,False
2024-04-24 12:00:00,Bullish Reversal (Valley),2314.89,42.37,,,-14.98377,False
2024-04-24 17:00:00,Bearish Reversal (Peak),2329.54,56.88,,,1.17122,False
2024-04-25 06:00:00,Bullish Reversal (Valley),2313.12,41.5,,,-11.67791,False
2024-04-25 17:00:00,Bearish Reversal (Peak),2333.8,59.56,,,8.80519,False
2024-04-26 12:00:00,Bearish Reversal (Peak),2349.23,73.48,,,18.30559,False
2024-04-29 05:00:00,Bullish Reversal (Valley),2324.18,35.64,,,-9.34198,False
2024-04-29 12:00:00,Bearish Reversal (Peak),2343.12,59.69,,,9.37238,False
2024-04-30 15:00:00,Bullish Reversal (Valley),2305.98,22.77,,,-23.07864,False
2024-05-01 07:00:00,Bullish Reversal (Valley),2283.12,24.8,,,-28.39519,False
2024-05-01 21:00:00,Bearish Reversal (Peak),2325.17,71.04,,,19.00409,False
2024-05-02 16:00:00,Bullish Reversal (Valley),2291.28,33.75,,,-16.61944,False
2024-05-02 20:00:00,Bearish Reversal (Peak),2307.97,52.56,,,0.81622,False
2024-05-03 16:00:00,Bullish Reversal (Valley),2289.99,37.45,,,-14.10017,False
2024-05-06 10:00:00,Bearish Reversal (Peak),2322.6,68.39,,,17.89106,False
2024-05-07 03:00:00,Bearish Reversal (Peak),2329.18,64.37,,,15.25652,False
2024-05-07 14:00:00,Bullish Reversal (Valley),2312.23,40.75,,,-3.3445,False
2024-05-08 10:00:00,Bullish Reversal (Valley),2305.58,37.25,,,-9.3219,False
2024-05-08 18:00:00,Bearish Reversal (Peak),2320.23,56.9,,,5.65547,False
2024-05-09 12:00:00,Bullish Reversal (Valley),2307.52,42.4,,,-5.39184,False
2024-05-09 17:00:00,Bearish Reversal (Peak),2333.27,69.27,,,18.57702,False
2024-05-10 13:00:00,Bearish Reversal (Peak),2374.66,84.8,,,38.88487,False
2024-05-13 20:00:00,Bullish Reversal (Valley),2335.83,32.51,,,-10.58825,False
2024-05-14 14:00:00,Bullish Reversal (Valley),2343.37,49.89,,,-0.47438,False
2024-05-14 16:00:00,Bearish Reversal (Peak),2353.82,63.24,,,9.4237,False
2024-05-15 11:00:00,Bearish Reversal (Peak),2373.02,75.19,,,21.45755,False
2024-05-16 03:00:00,Bearish Reversal (Peak),2394.84,70.36,,,30.14604,False
2024-05-17 09:00:00,Bearish Reversal (Peak),2385.86,60.23,,,9.94239,False
2024-05-20 08:00:00,Bearish Reversal (Peak),2449.42,85.21,,,49.54159,False
2024-05-21 01:00:00,Bearish Reversal (Peak),2427.2,52.66,,,13.17356,False
2024-05-21 09:00:00,Bullish Reversal (Valley),2410.58,40.26,,,-4.33457,False
2024-05-21 17:00:00,Bearish Reversal (Peak),2429.41,58.05,,,12.30445,False
2024-05-22 14:00:00,Bullish Reversal (Valley),2408.61,34.97,,,-8.84449,False
2024-05-23 08:00:00,Bullish Reversal (Valley),2359.82,20.91,,,-39.4613,False
2024-05-23 23:00:00,Bullish Reversal (Valley),2328.46,21.35,,,-47.88795,False
2024-05-24 20:00:00,Bullish Reversal (Valley),2332.58,36.45,,,-21.39019,False
2024-05-27 12:00:00,Bullish Reversal (Valley),2343.14,53.0,,,-4.74407,False
2024-05-27 20:00:00,Bearish Reversal (Peak),2354.89,64.72,,,6.07478,False
2024-05-28 09:00:00,Bullish Reversal (Valley),2341.72,39.03,,,-7.74951,False
2024-05-28 23:00:00,Bearish Reversal (Peak),2361.02,65.95,,,9.78313,False
2024-05-29 15:00:00,Bullish Reversal (Valley),2337.65,27.82,,,-13.54482,False
2024-05-30 08:00:00,Bullish Reversal (Valley),2324.85,29.7,,,-19.41446,False
2024-05-30 16:00:00,Bearish Reversal (Peak),2348.56,59.21,,,6.00192,False
2024-05-31 10:00:00,Bullish Reversal (Valley),2340.25,46.74,,,-2.8993,False
2024-05-31 15:00:00,Bearish Reversal (Peak),2354.68,64.46,,,11.07039,False
2024-06-03 08:00:00,Bullish Reversal (Valley),2320.04,35.53,,,-15.77519,False
2024-06-04 01:00:00,Bearish Reversal (Peak),2350.63,69.08,,,12.97449,False
2024-06-04 17:00:00,Bullish Reversal (Valley),2317.5,30.11,,,-19.76876,False
2024-06-05 07:00:00,Bearish Reversal (Peak),2337.84,57.39,,,3.51654,False
2024-06-05 10:00:00,Bullish Reversal (Valley),2331.48,47.94,,,-2.77153,False
2024-06-06 05:00:00,Bearish Reversal (Peak),2374.29,80.96,,,30.80141,False
2024-06-07 07:00:00,Bearish Reversal (Peak),2386.53,71.56,,,25.31104,False
2024-06-07 22:00:00,Bullish Reversal (Valley),2288.11,21.57,,,-56.52864,True
2024-06-11 08:00:00,Bullish Reversal (Valley),2299.46,39.44,,,-15.35668,False
2024-06-11 15:00:00,Bearish Reversal (Peak),2317.84,63.87,,,4.76063,False
2024-06-12 07:00:00,Bullish Reversal (Valley),2312.57,51.67,,,-0.82867,False
2024-06-12 19:00:00,Bearish Reversal (Peak),2337.56,69.34,,,20.5653,False
2024-06-13 15:00:00,Bearish Reversal (Peak),2323.17,55.74,,,6.10528,False
2024-06-13 18:00:00,Bullish Reversal (Valley),2298.84,37.95,,,-17.1391,False
2024-06-14 21:00:00,Bearish Reversal (Peak),2334.61,69.52,,,16.83365,False
2024-06-17 17:00:00,Bearish Reversal (Peak),2324.4,54.81,,,4.08385,False
2024-06-17 18:00:00,Bullish Reversal (Valley),2312.4,38.43,,,-7.60571,False
2024-06-18 13:00:00,Bullish Reversal (Valley),2308.18,31.93,,,-10.92935,False
