Time,Type,Close_Price,RSI,BB_Lower,BB_Upper,Distance_to_EMA50,High_Volatility
2024-04-12 05:00:00,Bearish Reversal (Peak),2393.53,78.38,,,27.37688,False
2024-04-12 10:45:00,Bearish Reversal (Peak),2399.77,69.09,,,19.43499,False
2024-04-12 17:45:00,Bearish Reversal (Peak),2426.48,84.35,,,31.89051,True
2024-04-12 21:30:00,Bullish Reversal (Valley),2336.49,22.0,,,-45.5642,True
2024-04-15 04:00:00,Bullish Reversal (Valley),2351.96,43.03,,,-13.42594,False
2024-04-15 11:30:00,Bullish Reversal (Valley),2346.05,32.07,,,-12.54733,False
2024-04-15 14:00:00,Bearish Reversal (Peak),2359.07,59.53,,,2.77358,False
2024-04-15 17:00:00,Bullish Reversal (Valley),2332.08,26.92,,,-22.60995,False
2024-04-15 20:15:00,Bearish Reversal (Peak),2366.83,64.05,,,13.30489,False
2024-04-16 01:00:00,Bearish Reversal (Peak),2387.77,72.47,,,22.82365,False
2024-04-16 06:15:00,Bearish Reversal (Peak),2389.22,64.85,,,13.40096,False
2024-04-16 10:45:00,Bullish Reversal (Valley),2365.42,28.24,,,-12.23805,False
2024-04-16 15:45:00,Bearish Reversal (Peak),2376.13,54.45,,,1.60551,False
2024-04-16 16:45:00,Bullish Reversal (Valley),2366.11,40.37,,,-8.17429,False
2024-04-16 19:45:00,Bearish Reversal (Peak),2397.47,68.8,,,19.50336,False
2024-04-17 01:15:00,Bearish Reversal (Peak),2385.44,49.36,,,2.22406,False
2024-04-17 03:00:00,Bullish Reversal (Valley),2381.47,42.75,,,-1.83091,False
2024-04-17 05:15:00,Bearish Reversal (Peak),2385.05,52.3,,,1.70349,False
2024-04-17 09:00:00,Bullish Reversal (Valley),2374.9,27.37,,,-7.09374,False
2024-04-17 12:00:00,Bearish Reversal (Peak),2393.59,72.89,,,10.65406,False
2024-04-17 15:30:00,Bullish Reversal (Valley),2380.52,38.39,,,-4.32919,False
2024-04-17 17:30:00,Bearish Reversal (Peak),2394.04,60.89,,,7.69899,False
2024-04-17 19:30:00,Bullish Reversal (Valley),2365.74,25.48,,,-19.30794,True
2024-04-17 23:45:00,Bullish Reversal (Valley),2361.0,30.51,,,-17.54446,False
2024-04-18 04:30:00,Bullish Reversal (Valley),2366.18,42.01,,,-7.3009,False
2024-04-18 09:45:00,Bearish Reversal (Peak),2380.5,69.46,,,5.9941,False
2024-04-18 16:15:00,Bearish Reversal (Peak),2390.8,67.83,,,11.58834,False
2024-04-18 17:30:00,Bullish Reversal (Valley),2375.1,43.33,,,-3.89195,True
2024-04-18 20:45:00,Bearish Reversal (Peak),2384.77,53.44,,,3.72675,False
2024-04-18 22:15:00,Bullish Reversal (Valley),2378.66,44.07,,,-2.49149,False
2024-04-19 03:15:00,Bullish Reversal (Valley),2374.92,36.99,,,-5.19649,False
2024-04-19 04:30:00,Bearish Reversal (Peak),2412.84,81.89,,,30.67056,False
2024-04-19 07:30:00,Bullish Reversal (Valley),2381.17,41.92,,,-5.4847,True
2024-04-19 10:00:00,Bearish Reversal (Peak),2391.87,56.48,,,5.94663,False
2024-04-19 14:00:00,Bullish Reversal (Valley),2373.93,34.65,,,-10.19732,False
2024-04-19 19:45:00,Bearish Reversal (Peak),2399.56,64.71,,,13.1577,False
2024-04-19 23:45:00,Bearish Reversal (Peak),2391.12,50.23,,,1.76114,False
2024-04-22 01:00:00,Bullish Reversal (Valley),2382.69,37.92,,,-6.40733,False
2024-04-22 05:00:00,Bullish Reversal (Valley),2374.97,29.84,,,-10.75581,False
2024-04-22 09:45:00,Bullish Reversal (Valley),2355.79,26.39,,,-19.86333,False
2024-04-22 17:00:00,Bullish Reversal (Valley),2335.05,30.66,,,-21.94673,False
2024-04-22 21:15:00,Bullish Reversal (Valley),2325.31,27.94,,,-19.5678,False
2024-04-23 04:45:00,Bullish Reversal (Valley),2298.77,19.25,,,-34.64019,False
2024-04-23 12:15:00,Bullish Reversal (Valley),2295.37,32.5,,,-18.10994,False
