Time,Type,Close_Price,RSI,BB_Lower,BB_Upper,Distance_to_EMA50,High_Volatility
2024-05-17 10:15:00,Bearish Reversal (Peak),1.08661,60.75,,,0.00041,False
2024-05-17 13:45:00,Bullish Reversal (Valley),1.08374,30.0,,,-0.0017,False
2024-05-17 17:45:00,Bearish Reversal (Peak),1.08754,74.82,,,0.00224,False
2024-05-17 22:15:00,Bearish Reversal (Peak),1.08752,65.81,,,0.00127,False
2024-05-20 00:15:00,Bullish Reversal (Valley),1.08643,43.2,,,-0.0,False
2024-05-20 03:15:00,Bearish Reversal (Peak),1.0875,60.82,,,0.00082,False
2024-05-20 09:15:00,Bearish Reversal (Peak),1.08812,66.5,,,0.00079,False
2024-05-20 10:15:00,Bullish Reversal (Valley),1.08708,36.16,,,-0.00028,False
2024-05-20 15:15:00,Bullish Reversal (Valley),1.08541,24.44,,,-0.00155,False
2024-05-20 20:00:00,Bearish Reversal (Peak),1.08688,59.59,,,0.00028,False
2024-05-20 20:15:00,Bullish Reversal (Valley),1.08648,51.08,,,-0.00011,False
2024-05-21 00:15:00,Bullish Reversal (Valley),1.08549,33.57,,,-0.0008,False
2024-05-21 05:00:00,Bullish Reversal (Valley),1.08511,32.21,,,-0.00089,False
2024-05-21 08:30:00,Bearish Reversal (Peak),1.08601,60.08,,,0.00017,False
2024-05-21 08:45:00,Bullish Reversal (Valley),1.08575,51.18,,,-9e-05,False
2024-05-21 12:15:00,Bearish Reversal (Peak),1.08729,68.04,,,0.00122,False
2024-05-21 15:30:00,Bullish Reversal (Valley),1.08547,36.14,,,-0.00076,False
2024-05-21 20:00:00,Bullish Reversal (Valley),1.08475,36.75,,,-0.00105,False
2024-05-21 23:45:00,Bullish Reversal (Valley),1.08525,46.01,,,-0.00032,False
2024-05-22 05:00:00,Bearish Reversal (Peak),1.08612,65.0,,,0.00051,False
2024-05-22 08:00:00,Bullish Reversal (Valley),1.08513,39.19,,,-0.00041,False
2024-05-22 09:45:00,Bearish Reversal (Peak),1.0860400000000001,62.85,,,0.00047,False
2024-05-22 14:30:00,Bullish Reversal (Valley),1.08258,21.44,,,-0.00226,False
2024-05-22 20:00:00,Bearish Reversal (Peak),1.08443,60.18,,,0.0003,False
2024-05-22 22:00:00,Bullish Reversal (Valley),1.08181,30.37,,,-0.00192,False
2024-05-23 05:00:00,Bullish Reversal (Valley),1.08226,43.34,,,-0.00058,False
2024-05-23 07:00:00,Bearish Reversal (Peak),1.08295,58.08,,,0.00012,False
2024-05-23 10:15:00,Bullish Reversal (Valley),1.08128,29.42,,,-0.00138,False
2024-05-23 11:15:00,Bearish Reversal (Peak),1.08423,66.21,,,0.00145,True
2024-05-23 16:15:00,Bearish Reversal (Peak),1.08589,72.31,,,0.00205,False
2024-05-23 17:45:00,Bullish Reversal (Valley),1.08235,34.25,,,-0.00142,True
2024-05-23 21:45:00,Bullish Reversal (Valley),1.08044,25.71,,,-0.00228,False
2024-05-24 03:00:00,Bullish Reversal (Valley),1.08086,36.44,,,-0.00096,False
2024-05-24 06:45:00,Bullish Reversal (Valley),1.08053,32.39,,,-0.00083,False
2024-05-24 09:30:00,Bearish Reversal (Peak),1.08164,70.68,,,0.0004,False
2024-05-24 13:30:00,Bearish Reversal (Peak),1.08413,80.93,,,0.00222,False
2024-05-24 19:15:00,Bearish Reversal (Peak),1.08554,67.74,,,0.00197,False
2024-05-24 23:30:00,Bearish Reversal (Peak),1.08466,49.7,,,0.00046,False
2024-05-27 05:00:00,Bearish Reversal (Peak),1.08499,57.74,,,0.00046,False
2024-05-27 08:45:00,Bearish Reversal (Peak),1.0848,50.94,,,0.00015,False
2024-05-27 09:00:00,Bullish Reversal (Valley),1.0844,36.78,,,-0.00024,False
2024-05-27 12:45:00,Bearish Reversal (Peak),1.08663,76.63,,,0.00177,True
2024-05-27 15:00:00,Bullish Reversal (Valley),1.08458,40.76,,,-0.00053,True
2024-05-27 19:30:00,Bearish Reversal (Peak),1.08608,59.77,,,0.00076,False
