Time,Type,Close_Price,RSI,BB_Lower,BB_Upper,Distance_to_EMA50,High_Volatility
2024-05-27 19:00:00,Bearish Reversal (Peak),1.08589,59.95,,,0.00149,False
2024-05-28 14:00:00,Bearish Reversal (Peak),1.08832,69.36,,,0.00254,False
2024-05-29 11:00:00,Bullish Reversal (Valley),1.08362,33.04,,,-0.00195,False
2024-05-30 08:00:00,Bullish Reversal (Valley),1.07892,24.12,,,-0.00395,False
2024-05-30 17:00:00,Bearish Reversal (Peak),1.08399,67.08,,,0.00142,False
2024-05-31 05:00:00,Bullish Reversal (Valley),1.08104,38.14,,,-0.00167,False
2024-05-31 15:00:00,Bearish Reversal (Peak),1.08792,78.09,,,0.00485,False
2024-06-03 09:00:00,Bearish Reversal (Peak),1.08554,57.98,,,0.00142,False
2024-06-03 12:00:00,Bullish Reversal (Valley),1.0834,41.82,,,-0.00067,False
2024-06-04 03:00:00,Bearish Reversal (Peak),1.09118,77.66,,,0.00507,False
2024-06-04 14:00:00,Bullish Reversal (Valley),1.08605,35.15,,,-0.00102,False
2024-06-05 03:00:00,Bearish Reversal (Peak),1.0883099999999999,54.06,,,0.00095,False
2024-06-05 19:00:00,Bullish Reversal (Valley),1.08633,40.32,,,-0.00103,False
2024-06-06 04:00:00,Bearish Reversal (Peak),1.08932,63.95,,,0.00192,False
2024-06-06 14:00:00,Bullish Reversal (Valley),1.08666,40.02,,,-0.00094,False
2024-06-06 21:00:00,Bearish Reversal (Peak),1.08919,59.59,,,0.00139,False
2024-06-07 14:00:00,Bearish Reversal (Peak),1.08974,59.94,,,0.00128,False
2024-06-10 00:00:00,Bullish Reversal (Valley),1.0771,14.01,,,-0.00869,False
2024-06-10 17:00:00,Bullish Reversal (Valley),1.07328,26.64,,,-0.00734,False
2024-06-11 17:00:00,Bullish Reversal (Valley),1.07215,27.39,,,-0.00509,False
2024-06-12 09:00:00,Bullish Reversal (Valley),1.07405,47.04,,,-0.00162,False
2024-06-12 17:00:00,Bearish Reversal (Peak),1.0847,86.15,,,0.00819,False
2024-06-13 10:00:00,Bearish Reversal (Peak),1.08133,60.49,,,0.00252,False
2024-06-13 19:00:00,Bullish Reversal (Valley),1.07341,26.77,,,-0.00509,False
2024-06-14 16:00:00,Bullish Reversal (Valley),1.06676,19.72,,,-0.00782,False
2024-06-17 09:00:00,Bullish Reversal (Valley),1.06966,40.05,,,-0.00268,False
2024-06-17 21:00:00,Bearish Reversal (Peak),1.07353,70.68,,,0.00145,False
2024-06-18 14:00:00,Bullish Reversal (Valley),1.07154,44.3,,,-0.00075,False
2024-06-18 16:00:00,Bearish Reversal (Peak),1.07474,66.53,,,0.00233,False
2024-06-19 09:00:00,Bullish Reversal (Valley),1.07303,46.85,,,-2e-05,False
2024-06-19 14:00:00,Bearish Reversal (Peak),1.0749900000000001,63.61,,,0.00173,False
2024-06-20 07:00:00,Bearish Reversal (Peak),1.07417,50.7,,,0.00037,False
2024-06-20 14:00:00,Bullish Reversal (Valley),1.07138,33.63,,,-0.00208,False
2024-06-21 10:00:00,Bullish Reversal (Valley),1.06769,25.93,,,-0.0043,False
2024-06-24 02:00:00,Bullish Reversal (Valley),1.06868,42.46,,,-0.00187,False
2024-06-24 16:00:00,Bearish Reversal (Peak),1.07417,75.53,,,0.00331,False
2024-06-25 08:00:00,Bearish Reversal (Peak),1.07407,67.66,,,0.00205,False
2024-06-25 17:00:00,Bullish Reversal (Valley),1.06997,32.12,,,-0.00191,False
2024-06-26 16:00:00,Bullish Reversal (Valley),1.06739,28.16,,,-0.00331,False
2024-06-27 11:00:00,Bullish Reversal (Valley),1.0687,46.69,,,-0.00084,False
2024-06-27 16:00:00,Bearish Reversal (Peak),1.07195,67.26,,,0.00222,False
2024-06-28 07:00:00,Bullish Reversal (Valley),1.06857,39.39,,,-0.00125,False
2024-06-28 17:00:00,Bearish Reversal (Peak),1.07175,61.36,,,0.00182,False
2024-07-01 09:00:00,Bearish Reversal (Peak),1.07689,77.45,,,0.00513,False
2024-07-01 18:00:00,Bullish Reversal (Valley),1.07259,44.27,,,-4e-05,False
2024-07-02 05:00:00,Bearish Reversal (Peak),1.07341,48.89,,,0.0005,False
2024-07-02 12:00:00,Bullish Reversal (Valley),1.07099,33.12,,,-0.00176,False
2024-07-03 01:00:00,Bearish Reversal (Peak),1.07478,60.7,,,0.00161,False
2024-07-03 17:00:00,Bearish Reversal (Peak),1.08048,81.54,,,0.00603,False
2024-07-04 11:00:00,Bearish Reversal (Peak),1.08008,69.82,,,0.00335,False
2024-07-05 07:00:00,Bearish Reversal (Peak),1.0821,75.6,,,0.00299,False
2024-07-05 22:00:00,Bearish Reversal (Peak),1.08403,69.54,,,0.00333,False
2024-07-08 15:00:00,Bearish Reversal (Peak),1.08427,61.16,,,0.00246,False
2024-07-09 07:00:00,Bearish Reversal (Peak),1.08286,51.59,,,0.0006,False
2024-07-09 20:00:00,Bullish Reversal (Valley),1.0808200000000001,36.62,,,-0.00119,False
2024-07-10 06:00:00,Bearish Reversal (Peak),1.08191,53.11,,,0.0001,False
2024-07-10 11:00:00,Bullish Reversal (Valley),1.08144,46.28,,,-0.00035,False
2024-07-10 23:00:00,Bearish Reversal (Peak),1.08286,60.39,,,0.00085,False
2024-07-11 15:00:00,Bearish Reversal (Peak),1.08859,87.53,,,0.00549,False
2024-07-12 17:00:00,Bearish Reversal (Peak),1.09082,76.53,,,0.00474,False
2024-07-15 17:00:00,Bearish Reversal (Peak),1.09161,67.9,,,0.00309,False
2024-07-16 14:00:00,Bearish Reversal (Peak),1.09011,56.2,,,0.00101,False
2024-07-16 17:00:00,Bullish Reversal (Valley),1.08775,37.3,,,-0.00122,False
2024-07-17 12:00:00,Bearish Reversal (Peak),1.09428,74.97,,,0.00447,False
2024-07-18 08:00:00,Bearish Reversal (Peak),1.0936,59.61,,,0.00177,False
2024-07-19 04:00:00,Bullish Reversal (Valley),1.08866,26.76,,,-0.00258,False
2024-07-19 21:00:00,Bullish Reversal (Valley),1.08777,37.02,,,-0.00211,False
2024-07-22 01:00:00,Bearish Reversal (Peak),1.08988,57.31,,,0.00021,False
2024-07-22 15:00:00,Bullish Reversal (Valley),1.08771,40.32,,,-0.00154,False
2024-07-23 06:00:00,Bearish Reversal (Peak),1.08933,56.8,,,0.00029,False
2024-07-23 17:00:00,Bullish Reversal (Valley),1.08439,20.47,,,-0.00377,False
2024-07-24 10:00:00,Bullish Reversal (Valley),1.0828,27.07,,,-0.00364,False
2024-07-25 09:00:00,Bullish Reversal (Valley),1.08339,40.13,,,-0.00167,False
2024-07-25 19:00:00,Bearish Reversal (Peak),1.0861,60.32,,,0.00105,False
2024-07-26 10:00:00,Bullish Reversal (Valley),1.0848200000000001,47.87,,,-0.00027,False
2024-07-29 04:00:00,Bearish Reversal (Peak),1.08648,59.54,,,0.00105,False
2024-07-29 16:00:00,Bullish Reversal (Valley),1.08108,23.84,,,-0.00373,False
2024-07-30 15:00:00,Bullish Reversal (Valley),1.08009,32.44,,,-0.00306,False
2024-07-31 16:00:00,Bearish Reversal (Peak),1.08418,65.64,,,0.00164,False
2024-07-31 19:00:00,Bullish Reversal (Valley),1.0808200000000001,40.63,,,-0.00162,False
2024-08-01 08:00:00,Bearish Reversal (Peak),1.08262,51.79,,,0.00016,False
2024-08-01 12:00:00,Bullish Reversal (Valley),1.07768,26.0,,,-0.00432,False
2024-08-02 05:00:00,Bullish Reversal (Valley),1.07892,43.27,,,-0.00156,False
2024-08-02 17:00:00,Bearish Reversal (Peak),1.09213,87.01,,,0.01038,False
2024-08-05 15:00:00,Bearish Reversal (Peak),1.099,78.71,,,0.01062,True
2024-08-06 06:00:00,Bearish Reversal (Peak),1.0953,55.92,,,0.00366,False
2024-08-06 15:00:00,Bullish Reversal (Valley),1.09041,35.9,,,-0.00144,False
2024-08-06 22:00:00,Bearish Reversal (Peak),1.09288,49.49,,,0.00084,False
2024-08-07 08:00:00,Bullish Reversal (Valley),1.09093,38.26,,,-0.00108,False
2024-08-07 17:00:00,Bearish Reversal (Peak),1.09308,56.49,,,0.00108,False
2024-08-08 09:00:00,Bearish Reversal (Peak),1.09418,66.11,,,0.0018,False
2024-08-08 16:00:00,Bullish Reversal (Valley),1.08918,29.3,,,-0.00309,False
2024-08-09 09:00:00,Bearish Reversal (Peak),1.09264,56.59,,,0.00067,False
2024-08-09 15:00:00,Bullish Reversal (Valley),1.09108,43.0,,,-0.00082,False
2024-08-12 06:00:00,Bullish Reversal (Valley),1.0913,45.25,,,-0.00052,False
2024-08-12 10:00:00,Bearish Reversal (Peak),1.09213,54.29,,,0.0003,False
2024-08-13 02:00:00,Bearish Reversal (Peak),1.09352,62.15,,,0.00123,False
2024-08-13 12:00:00,Bullish Reversal (Valley),1.09189,39.75,,,-0.00067,False
2024-08-13 21:00:00,Bearish Reversal (Peak),1.09983,80.56,,,0.00629,False
2024-08-14 16:00:00,Bearish Reversal (Peak),1.10366,78.37,,,0.00638,False
2024-08-15 09:00:00,Bearish Reversal (Peak),1.1013600000000001,57.85,,,0.00214,False
2024-08-15 15:00:00,Bullish Reversal (Valley),1.09555,25.35,,,-0.00384,False
