time,open,high,low,close,tick_volume,spread,real_volume
2024-05-15 08:00:00,1.08205,1.08238,1.08203,1.08232,166,18,0
2024-05-15 08:15:00,1.08232,1.08237,1.08214,1.08217,171,18,0
2024-05-15 08:30:00,1.08217,1.08232,1.08215,1.08222,187,18,0
2024-05-15 08:45:00,1.08223,1.08272,1.08222,1.08261,265,18,0
2024-05-15 09:00:00,1.08262,1.08278,1.08245,1.08249,469,18,0
2024-05-15 09:15:00,1.08247,1.0824799999999999,1.08216,1.08234,464,18,0
2024-05-15 09:30:00,1.08233,1.0824799999999999,1.08224,1.08235,347,18,0
2024-05-15 09:45:00,1.08236,1.08298,1.08234,1.08294,591,18,0
2024-05-15 10:00:00,1.08294,1.08315,1.08263,1.08298,815,18,0
2024-05-15 10:15:00,1.08299,1.08316,1.0827,1.08293,623,18,0
2024-05-15 10:30:00,1.08292,1.08313,1.08277,1.08301,615,18,0
2024-05-15 10:45:00,1.08301,1.08303,1.08243,1.0825,544,18,0
2024-05-15 11:00:00,1.08249,1.08287,1.08237,1.08287,513,18,0
2024-05-15 11:15:00,1.08287,1.08337,1.08276,1.08336,589,18,0
2024-05-15 11:30:00,1.08336,1.08336,1.08274,1.08284,551,18,0
2024-05-15 11:45:00,1.08283,1.08306,1.08269,1.08289,571,18,0
2024-05-15 12:00:00,1.08289,1.08311,1.0827,1.08291,636,18,0
2024-05-15 12:15:00,1.08292,1.08302,1.08242,1.0826,563,18,0
2024-05-15 12:30:00,1.0826,1.08283,1.08238,1.0824799999999999,505,18,0
2024-05-15 12:45:00,1.08247,1.08281,1.08247,1.08271,486,18,0
2024-05-15 13:00:00,1.08272,1.08282,1.08262,1.08276,368,18,0
2024-05-15 13:15:00,1.08278,1.0829,1.08256,1.08267,456,18,0
2024-05-15 13:30:00,1.08269,1.0827,1.08234,1.08234,422,18,0
2024-05-15 13:45:00,1.08234,1.08258,1.08225,1.08235,525,18,0
2024-05-15 14:00:00,1.08236,1.0824799999999999,1.0822,1.08243,487,18,0
2024-05-15 14:15:00,1.08245,1.08262,1.08218,1.0824,558,18,0
2024-05-15 14:30:00,1.08241,1.08275,1.08209,1.08242,475,18,0
2024-05-15 14:45:00,1.08242,1.08284,1.0822,1.08284,670,18,0
2024-05-15 15:00:00,1.08284,1.0835,1.08271,1.08296,900,18,0
2024-05-15 15:15:00,1.08296,1.08349,1.08282,1.08282,1100,18,0
2024-05-15 15:30:00,1.08282,1.08687,1.08282,1.08628,4125,18,0
2024-05-15 15:45:00,1.08627,1.08641,1.08538,1.08602,2831,18,0
2024-05-15 16:00:00,1.08603,1.08649,1.08516,1.08639,2091,18,0
2024-05-15 16:15:00,1.0864,1.0864,1.08508,1.08547,1669,18,0
2024-05-15 16:30:00,1.08548,1.08556,1.08443,1.0845,1598,18,0
2024-05-15 16:45:00,1.0845,1.08452,1.08307,1.08341,1687,18,0
2024-05-15 17:00:00,1.08342,1.08447,1.08331,1.08429,1476,18,0
2024-05-15 17:15:00,1.08429,1.08505,1.08406,1.0847,1256,18,0
2024-05-15 17:30:00,1.0847,1.08538,1.08466,1.08532,1159,18,0
2024-05-15 17:45:00,1.08531,1.08591,1.08505,1.08566,1142,18,0
2024-05-15 18:00:00,1.08567,1.08647,1.08548,1.08645,1106,18,0
2024-05-15 18:15:00,1.08644,1.08712,1.08623,1.08707,917,18,0
2024-05-15 18:30:00,1.08709,1.08737,1.08661,1.08669,894,18,0
2024-05-15 18:45:00,1.08668,1.08678,1.08565,1.08589,794,18,0
2024-05-15 19:00:00,1.0859,1.08626,1.08551,1.08606,769,18,0
2024-05-15 19:15:00,1.08607,1.08653,1.08569,1.08651,606,18,0
2024-05-15 19:30:00,1.08651,1.08728,1.08647,1.08704,592,18,0
2024-05-15 19:45:00,1.08705,1.08717,1.08676,1.08711,545,18,0
2024-05-15 20:00:00,1.08711,1.08775,1.08706,1.08774,518,18,0
2024-05-15 20:15:00,1.08773,1.0878,1.08732,1.08757,593,18,0
2024-05-15 20:30:00,1.08758,1.08791,1.0875,1.08759,659,18,0
2024-05-15 20:45:00,1.08759,1.08795,1.08746,1.0879,490,18,0
2024-05-15 21:00:00,1.0879,1.08797,1.08757,1.0876,433,18,0
2024-05-15 21:15:00,1.08759,1.0876,1.08718,1.08753,374,18,0
2024-05-15 21:30:00,1.08754,1.08766,1.0872600000000001,1.0874,369,18,0
2024-05-15 21:45:00,1.0874,1.08775,1.08729,1.08774,419,18,0
2024-05-15 22:00:00,1.08773,1.08797,1.08768,1.08793,218,18,0
2024-05-15 22:15:00,1.08793,1.08808,1.0878700000000001,1.08795,367,18,0
2024-05-15 22:30:00,1.08795,1.08797,1.08778,1.08794,249,18,0
2024-05-15 22:45:00,1.08794,1.08819,1.08788,1.08809,289,18,0
2024-05-15 23:00:00,1.08808,1.08829,1.08804,1.08828,189,18,0
2024-05-15 23:15:00,1.08829,1.0885,1.08818,1.08818,225,18,0
2024-05-15 23:30:00,1.08818,1.08827,1.08815,1.08824,146,18,0
2024-05-15 23:45:00,1.08826,1.08838,1.08823,1.08833,175,18,0
2024-05-16 00:00:00,1.08832,1.08844,1.08774,1.08794,102,24,0
2024-05-16 00:15:00,1.08794,1.08814,1.0878,1.08801,199,18,0
2024-05-16 00:30:00,1.08804,1.08827,1.08799,1.08827,289,20,0
2024-05-16 00:45:00,1.08826,1.08843,1.08813,1.0883099999999999,228,18,0
2024-05-16 01:00:00,1.0883099999999999,1.08883,1.08827,1.08883,338,18,0
2024-05-16 01:15:00,1.08878,1.08885,1.0887,1.08873,97,20,0
2024-05-16 01:30:00,1.08874,1.08888,1.08873,1.08888,144,18,0
2024-05-16 01:45:00,1.08888,1.08889,1.08881,1.08882,102,18,0
2024-05-16 02:00:00,1.08884,1.08888,1.08867,1.08877,239,18,0
2024-05-16 02:15:00,1.08878,1.08891,1.08876,1.08883,282,18,0
2024-05-16 02:30:00,1.08882,1.0889,1.08871,1.08876,258,18,0
2024-05-16 02:45:00,1.08876,1.08891,1.08874,1.08874,341,18,0
2024-05-16 03:00:00,1.08873,1.08882,1.08857,1.08876,535,18,0
2024-05-16 03:15:00,1.08876,1.08893,1.0886,1.08889,377,18,0
2024-05-16 03:30:00,1.0889,1.08915,1.08882,1.08903,397,18,0
2024-05-16 03:45:00,1.08905,1.0894,1.089,1.08927,506,18,0
2024-05-16 04:00:00,1.08928,1.08928,1.08849,1.08887,511,18,0
2024-05-16 04:15:00,1.08888,1.08928,1.08886,1.08896,411,18,0
2024-05-16 04:30:00,1.08891,1.0893,1.08875,1.08876,560,18,0
2024-05-16 04:45:00,1.08876,1.08882,1.08833,1.08856,579,18,0
2024-05-16 05:00:00,1.08857,1.08857,1.0881,1.08818,591,18,0
2024-05-16 05:15:00,1.08817,1.08857,1.08804,1.08851,366,18,0
2024-05-16 05:30:00,1.08851,1.08873,1.0884,1.08851,385,18,0
2024-05-16 05:45:00,1.08851,1.08865,1.08845,1.08863,328,18,0
2024-05-16 06:00:00,1.08861,1.08867,1.08849,1.08854,358,18,0
