time,open,high,low,close,tick_volume,spread,real_volume
2024-04-10 19:00:00,2336.76,2340.76,2335.74,2337.1,9592,27,0
2024-04-10 20:00:00,2337.09,2345.06,2325.62,2337.42,14595,27,0
2024-04-10 21:00:00,2337.42,2340.87,2326.08,2327.35,8828,27,0
2024-04-10 22:00:00,2327.34,2330.85,2327.06,2329.63,7372,27,0
2024-04-10 23:00:00,2329.51,2333.5,2329.45,2333.42,2888,27,0
2024-04-11 01:00:00,2332.88,2336.71,2332.18,2335.86,1670,27,0
2024-04-11 02:00:00,2335.85,2337.1,2334.09,2335.4,1862,27,0
2024-04-11 03:00:00,2335.4,2335.89,2333.21,2335.12,4725,27,0
2024-04-11 04:00:00,2335.06,2342.12,2333.94,2340.58,9179,27,0
2024-04-11 05:00:00,2340.59,2345.66,2339.4,2343.77,4853,27,0
2024-04-11 06:00:00,2343.75,2346.74,2342.85,2343.84,4381,27,0
2024-04-11 07:00:00,2343.86,2345.98,2341.45,2342.82,3502,27,0
2024-04-11 08:00:00,2342.84,2344.52,2338.78,2341.81,5322,27,0
2024-04-11 09:00:00,2341.81,2342.06,2333.78,2335.96,9203,27,0
2024-04-11 10:00:00,2335.98,2340.64,2335.14,2336.35,8425,27,0
2024-04-11 11:00:00,2336.37,2337.85,2325.66,2327.9,8791,27,0
2024-04-11 12:00:00,2327.84,2335.23,2327.81,2330.68,7299,27,0
2024-04-11 13:00:00,2330.66,2339.13,2330.53,2338.43,6754,27,0
2024-04-11 14:00:00,2338.51,2339.55,2335.49,2337.15,6303,27,0
2024-04-11 15:00:00,2337.15,2344.23,2331.6,2341.25,16433,27,0
2024-04-11 16:00:00,2341.24,2347.34,2336.79,2343.17,17476,27,0
2024-04-11 17:00:00,2343.19,2346.82,2332.27,2338.88,17248,27,0
2024-04-11 18:00:00,2338.89,2345.43,2337.51,2344.67,10266,27,0
2024-04-11 19:00:00,2344.71,2350.68,2342.58,2349.75,8991,27,0
2024-04-11 20:00:00,2349.75,2357.19,2347.94,2356.2,10220,27,0
2024-04-11 21:00:00,2356.2,2364.96,2355.56,2361.35,8436,27,0
2024-04-11 22:00:00,2361.36,2374.54,2361.35,2372.74,7272,27,0
2024-04-11 23:00:00,2373.03,2377.61,2371.48,2372.27,4234,27,0
2024-04-12 01:00:00,2371.51,2379.36,2370.49,2373.76,3133,27,0
2024-04-12 02:00:00,2373.77,2376.97,2373.76,2376.75,2708,27,0
2024-04-12 03:00:00,2376.74,2379.07,2374.52,2378.59,4283,27,0
2024-04-12 04:00:00,2378.69,2391.32,2378.59,2390.71,13953,27,0
2024-04-12 05:00:00,2390.74,2395.29,2387.82,2390.45,9636,27,0
2024-04-12 06:00:00,2390.46,2391.13,2382.82,2384.19,6127,27,0
2024-04-12 07:00:00,2384.2,2386.97,2382.7,2384.04,3390,27,0
2024-04-12 08:00:00,2384.06,2390.01,2383.29,2387.4,5471,27,0
2024-04-12 09:00:00,2387.35,2395.14,2384.66,2395.0,8535,27,0
2024-04-12 10:00:00,2395.01,2400.1,2392.74,2399.77,9838,27,0
2024-04-12 11:00:00,2399.75,2400.45,2394.04,2396.6,7843,27,0
2024-04-12 12:00:00,2396.6,2400.18,2393.19,2398.04,6673,27,0
2024-04-12 13:00:00,2398.04,2400.24,2395.84,2398.02,6584,27,0
2024-04-12 14:00:00,2398.05,2398.06,2390.32,2395.32,8856,27,0
2024-04-12 15:00:00,2395.34,2397.56,2391.45,2395.76,13909,27,0
2024-04-12 16:00:00,2395.74,2406.4,2393.29,2403.94,20250,27,0
2024-04-12 17:00:00,2404.0,2428.91,2400.17,2426.48,22571,27,0
2024-04-12 18:00:00,2426.45,2431.39,2382.09,2395.45,26333,27,0
2024-04-12 19:00:00,2395.31,2395.31,2360.64,2369.16,21567,27,0
2024-04-12 20:00:00,2369.21,2373.03,2346.24,2355.07,18814,27,0
2024-04-12 21:00:00,2354.96,2356.57,2335.23,2338.64,11880,27,0
2024-04-12 22:00:00,2338.67,2345.27,2333.76,2343.19,8357,27,0
2024-04-12 23:00:00,2343.24,2345.03,2341.61,2343.72,3124,27,0
2024-04-15 01:00:00,2354.45,2372.32,2346.65,2356.69,8125,32,0
2024-04-15 02:00:00,2356.7,2365.17,2354.94,2364.52,4673,27,0
2024-04-15 03:00:00,2364.54,2365.71,2350.42,2353.09,8835,27,0
2024-04-15 04:00:00,2353.09,2359.48,2348.32,2355.5,13996,27,0
2024-04-15 05:00:00,2355.45,2364.5,2353.38,2359.48,8408,27,0
2024-04-15 06:00:00,2359.5,2360.22,2354.59,2358.36,5789,27,0
2024-04-15 07:00:00,2358.36,2358.54,2355.49,2356.61,3077,27,0
2024-04-15 08:00:00,2356.47,2362.38,2351.94,2361.02,7198,27,0
2024-04-15 09:00:00,2360.99,2361.4,2353.01,2354.7,11487,27,0
2024-04-15 10:00:00,2354.73,2356.21,2349.88,2352.97,9432,27,0
2024-04-15 11:00:00,2352.94,2355.87,2344.59,2351.51,10367,27,0
2024-04-15 12:00:00,2351.47,2353.39,2346.14,2349.57,6638,27,0
2024-04-15 13:00:00,2349.63,2356.89,2349.1,2356.67,5921,27,0
2024-04-15 14:00:00,2356.65,2361.13,2355.45,2357.93,7714,27,0
2024-04-15 15:00:00,2357.93,2359.2,2350.85,2357.18,12520,27,0
2024-04-15 16:00:00,2357.23,2360.98,2343.0,2348.59,17278,27,0
2024-04-15 17:00:00,2348.44,2352.39,2324.13,2349.33,21280,27,0
2024-04-15 18:00:00,2349.27,2352.46,2342.49,2351.48,13259,27,0
2024-04-15 19:00:00,2351.54,2359.93,2346.03,2357.04,11581,27,0
2024-04-15 20:00:00,2356.91,2370.53,2353.94,2365.43,13916,27,0
2024-04-15 21:00:00,2365.33,2378.08,2363.57,2375.82,9105,27,0
2024-04-15 22:00:00,2375.78,2387.47,2373.87,2386.25,10232,27,0
2024-04-15 23:00:00,2386.26,2386.6,2379.96,2382.95,3043,27,0
2024-04-16 01:00:00,2382.32,2391.98,2380.57,2384.22,3478,27,0
2024-04-16 02:00:00,2384.22,2387.25,2380.98,2381.94,2131,27,0
2024-04-16 03:00:00,2381.85,2387.59,2380.04,2383.35,6006,27,0
2024-04-16 04:00:00,2383.36,2386.89,2379.1,2383.65,10164,27,0
2024-04-16 05:00:00,2383.66,2387.8,2379.39,2386.02,6525,27,0
2024-04-16 06:00:00,2386.02,2389.29,2384.34,2387.88,5124,27,0
2024-04-16 07:00:00,2387.89,2388.17,2383.96,2386.02,4347,27,0
2024-04-16 08:00:00,2386.02,2388.92,2384.82,2386.27,4962,27,0
2024-04-16 09:00:00,2386.28,2388.06,2368.58,2372.87,12578,27,0
2024-04-16 10:00:00,2372.75,2375.17,2362.9,2365.42,11306,27,0
2024-04-16 11:00:00,2365.44,2371.79,2365.05,2369.31,8886,27,0
2024-04-16 12:00:00,2369.34,2373.12,2367.4,2372.19,8687,27,0
2024-04-16 13:00:00,2372.23,2375.21,2368.58,2370.08,7902,27,0
2024-04-16 14:00:00,2370.1,2375.17,2369.61,2373.85,8018,27,0
2024-04-16 15:00:00,2373.89,2378.11,2368.47,2376.13,12351,27,0
2024-04-16 16:00:00,2376.18,2379.19,2365.19,2366.11,20828,27,0
2024-04-16 17:00:00,2366.16,2383.24,2363.42,2382.92,21278,27,0
2024-04-16 18:00:00,2382.83,2392.89,2377.81,2385.89,18663,27,0
2024-04-16 19:00:00,2385.93,2398.23,2385.43,2397.47,13550,27,0
2024-04-16 20:00:00,2397.54,2397.63,2379.64,2384.52,15793,27,0
2024-04-16 21:00:00,2384.62,2396.4,2383.43,2392.24,12528,27,0
2024-04-16 22:00:00,2392.22,2395.13,2388.89,2389.59,7400,27,0
2024-04-16 23:00:00,2389.58,2390.26,2378.24,2382.48,3371,27,0
2024-04-17 01:00:00,2380.86,2386.83,2380.86,2384.78,2442,31,0
2024-04-17 02:00:00,2384.77,2386.7,2382.34,2382.58,3068,27,0
2024-04-17 03:00:00,2382.62,2384.57,2380.69,2384.3,4687,27,0
2024-04-17 04:00:00,2384.35,2385.43,2381.17,2384.51,8224,27,0
2024-04-17 05:00:00,2384.52,2386.15,2382.16,2382.21,5259,27,0
2024-04-17 06:00:00,2382.07,2383.61,2380.56,2381.53,4084,27,0
2024-04-17 07:00:00,2381.52,2382.98,2380.19,2381.82,2303,27,0
2024-04-17 08:00:00,2381.77,2381.97,2374.09,2377.43,5821,27,0
2024-04-17 09:00:00,2377.43,2381.46,2372.6,2380.94,10000,27,0
2024-04-17 10:00:00,2380.93,2383.1,2377.79,2382.43,7339,27,0
2024-04-17 11:00:00,2382.41,2393.46,2382.41,2392.82,8331,27,0
2024-04-17 12:00:00,2392.83,2394.2,2389.66,2391.98,7183,27,0
2024-04-17 13:00:00,2392.02,2393.7,2384.91,2386.48,6905,27,0
2024-04-17 14:00:00,2386.48,2390.18,2385.7,2387.24,5591,27,0
2024-04-17 15:00:00,2387.34,2387.9,2378.23,2383.21,11352,27,0
2024-04-17 16:00:00,2383.2,2395.06,2382.85,2393.24,16893,27,0
2024-04-17 17:00:00,2393.19,2395.5,2386.01,2390.36,15777,27,0
2024-04-17 18:00:00,2390.4,2393.52,2381.83,2382.12,14178,27,0
2024-04-17 19:00:00,2382.08,2384.37,2360.95,2372.27,17892,27,0
2024-04-17 20:00:00,2372.22,2375.92,2367.92,2372.12,13534,27,0
2024-04-17 21:00:00,2372.13,2378.98,2371.78,2374.26,8498,27,0
2024-04-17 22:00:00,2374.02,2374.96,2367.72,2372.53,6947,27,0
2024-04-17 23:00:00,2372.57,2373.09,2354.34,2361.0,3406,27,0
2024-04-18 01:00:00,2361.75,2367.53,2361.16,2365.06,1942,27,0
2024-04-18 02:00:00,2365.06,2367.92,2363.49,2367.73,2057,27,0
2024-04-18 03:00:00,2367.9,2369.97,2366.78,2369.68,4168,27,0
2024-04-18 04:00:00,2369.63,2371.96,2363.96,2367.21,9671,27,0
2024-04-18 05:00:00,2367.22,2374.84,2366.61,2373.0,7639,27,0
