time,open,high,low,close,tick_volume,spread,real_volume
2024-04-10 10:15:00,2355.33,2357.51,2354.19,2356.87,1538,27,0
2024-04-10 10:30:00,2356.88,2356.88,2353.6,2354.17,1258,27,0
2024-04-10 10:45:00,2354.25,2354.66,2352.42,2352.98,1487,27,0
2024-04-10 11:00:00,2353.24,2354.07,2352.35,2353.99,1324,27,0
2024-04-10 11:15:00,2353.95,2354.73,2352.25,2354.16,1437,27,0
2024-04-10 11:30:00,2354.25,2355.76,2353.76,2353.81,1299,28,0
2024-04-10 11:45:00,2353.93,2355.21,2353.41,2354.36,1383,27,0
2024-04-10 12:00:00,2354.36,2354.62,2352.61,2352.66,1073,32,0
2024-04-10 12:15:00,2352.67,2353.26,2349.26,2349.63,1570,27,0
2024-04-10 12:30:00,2349.64,2349.79,2344.81,2348.82,2442,27,0
2024-04-10 12:45:00,2348.81,2349.17,2347.39,2347.55,1468,27,0
2024-04-10 13:00:00,2347.5,2347.87,2345.12,2347.62,1699,27,0
2024-04-10 13:15:00,2347.62,2348.39,2346.2,2348.03,1129,27,0
2024-04-10 13:30:00,2348.04,2350.11,2347.57,2347.98,1437,27,0
2024-04-10 13:45:00,2348.02,2349.53,2347.04,2347.32,1166,27,0
2024-04-10 14:00:00,2347.42,2347.71,2345.45,2346.4,1539,27,0
2024-04-10 14:15:00,2346.42,2348.13,2344.68,2347.98,1365,27,0
2024-04-10 14:30:00,2347.96,2348.74,2346.68,2348.36,1044,27,0
2024-04-10 14:45:00,2348.36,2349.31,2346.23,2346.91,1499,27,0
2024-04-10 15:00:00,2346.89,2349.35,2346.61,2347.67,1803,27,0
2024-04-10 15:15:00,2347.64,2350.65,2347.32,2349.42,2274,27,0
2024-04-10 15:30:00,2349.42,2349.42,2327.67,2338.5,7831,27,0
2024-04-10 15:45:00,2338.49,2346.34,2335.39,2338.28,6461,27,0
2024-04-10 16:00:00,2338.33,2339.52,2321.85,2322.08,6969,27,0
2024-04-10 16:15:00,2322.09,2328.63,2322.09,2326.37,5787,27,0
2024-04-10 16:30:00,2326.33,2333.14,2319.25,2332.62,6494,27,0
2024-04-10 16:45:00,2332.6,2335.57,2325.61,2333.82,5599,27,0
2024-04-10 17:00:00,2333.87,2344.02,2332.12,2341.93,5401,27,0
2024-04-10 17:15:00,2341.97,2352.22,2340.19,2345.95,5717,27,0
2024-04-10 17:30:00,2345.89,2351.01,2343.85,2348.22,5395,27,0
2024-04-10 17:45:00,2348.22,2352.14,2345.6,2346.1,4859,27,0
2024-04-10 18:00:00,2346.12,2347.54,2329.93,2332.02,5191,27,0
2024-04-10 18:15:00,2331.96,2337.53,2331.18,2337.17,4029,27,0
2024-04-10 18:30:00,2337.24,2341.72,2337.19,2340.64,3720,27,0
2024-04-10 18:45:00,2340.64,2340.64,2334.73,2336.97,2791,27,0
2024-04-10 19:00:00,2336.76,2339.17,2336.06,2338.11,2459,27,0
2024-04-10 19:15:00,2338.12,2340.76,2336.11,2336.51,2450,27,0
2024-04-10 19:30:00,2336.52,2338.52,2335.74,2336.55,2241,27,0
2024-04-10 19:45:00,2336.7,2340.0,2336.55,2337.1,2442,27,0
2024-04-10 20:00:00,2337.09,2337.43,2325.62,2328.53,4107,27,0
2024-04-10 20:15:00,2328.59,2334.34,2328.44,2329.36,3361,27,0
2024-04-10 20:30:00,2329.37,2345.06,2329.24,2334.74,4671,27,0
2024-04-10 20:45:00,2334.71,2339.39,2334.71,2337.42,2456,27,0
2024-04-10 21:00:00,2337.42,2340.57,2336.14,2340.32,2444,27,0
2024-04-10 21:15:00,2340.32,2340.87,2335.07,2335.73,2218,27,0
2024-04-10 21:30:00,2335.73,2336.01,2333.26,2333.99,2016,27,0
2024-04-10 21:45:00,2333.99,2334.52,2326.08,2327.35,2150,27,0
2024-04-10 22:00:00,2327.34,2330.85,2327.06,2328.59,2367,27,0
2024-04-10 22:15:00,2328.67,2329.77,2327.3,2328.82,2082,27,0
2024-04-10 22:30:00,2328.82,2330.34,2328.61,2329.8,1424,27,0
2024-04-10 22:45:00,2329.8,2330.7,2329.07,2329.63,1499,27,0
2024-04-10 23:00:00,2329.51,2332.04,2329.45,2332.01,1210,27,0
2024-04-10 23:15:00,2332.0,2333.5,2331.8,2332.84,626,27,0
2024-04-10 23:30:00,2332.88,2333.08,2331.74,2332.08,569,27,0
2024-04-10 23:45:00,2332.04,2333.42,2331.74,2333.42,483,27,0
2024-04-11 01:00:00,2332.88,2335.06,2332.18,2334.68,240,27,0
2024-04-11 01:15:00,2334.62,2335.34,2334.34,2334.34,254,32,0
2024-04-11 01:30:00,2334.4,2335.84,2333.36,2335.37,519,27,0
2024-04-11 01:45:00,2335.37,2336.71,2335.24,2335.86,657,31,0
2024-04-11 02:00:00,2335.85,2336.3,2334.09,2335.05,396,27,0
