time,open,high,low,close,tick_volume,spread,real_volume
2024-05-15 10:00:00,1.08294,1.08316,1.08243,1.0825,2597,18,0
2024-05-15 11:00:00,1.08249,1.08337,1.08237,1.08289,2224,18,0
2024-05-15 12:00:00,1.08289,1.08311,1.08238,1.08271,2190,18,0
2024-05-15 13:00:00,1.08272,1.0829,1.08225,1.08235,1771,18,0
2024-05-15 14:00:00,1.08236,1.08284,1.08209,1.08284,2190,18,0
2024-05-15 15:00:00,1.08284,1.08687,1.08271,1.08602,8956,18,0
2024-05-15 16:00:00,1.08603,1.08649,1.08307,1.08341,7045,18,0
2024-05-15 17:00:00,1.08342,1.08591,1.08331,1.08566,5033,18,0
2024-05-15 18:00:00,1.08567,1.08737,1.08548,1.08589,3711,18,0
2024-05-15 19:00:00,1.0859,1.08728,1.08551,1.08711,2512,18,0
2024-05-15 20:00:00,1.08711,1.08795,1.08706,1.0879,2260,18,0
2024-05-15 21:00:00,1.0879,1.08797,1.08718,1.08774,1595,18,0
2024-05-15 22:00:00,1.08773,1.08819,1.08768,1.08809,1123,18,0
2024-05-15 23:00:00,1.08808,1.0885,1.08804,1.08833,735,18,0
2024-05-16 00:00:00,1.08832,1.08844,1.08774,1.0883099999999999,818,18,0
2024-05-16 01:00:00,1.0883099999999999,1.08889,1.08827,1.08882,681,18,0
2024-05-16 02:00:00,1.08884,1.08891,1.08867,1.08874,1120,18,0
2024-05-16 03:00:00,1.08873,1.0894,1.08857,1.08927,1815,18,0
2024-05-16 04:00:00,1.08928,1.0893,1.08833,1.08856,2061,18,0
2024-05-16 05:00:00,1.08857,1.08873,1.08804,1.08863,1670,18,0
2024-05-16 06:00:00,1.08861,1.08883,1.08849,1.08862,1094,18,0
2024-05-16 07:00:00,1.08861,1.08861,1.0883099999999999,1.08837,939,18,0
2024-05-16 08:00:00,1.0884,1.08841,1.08786,1.08786,1082,18,0
2024-05-16 09:00:00,1.08786,1.08819,1.0873599999999999,1.08754,2002,18,0
2024-05-16 10:00:00,1.08756,1.0881,1.08722,1.08735,2610,18,0
2024-05-16 11:00:00,1.08735,1.08757,1.08653,1.08723,2852,18,0
2024-05-16 12:00:00,1.08724,1.0874,1.08678,1.08691,2129,18,0
2024-05-16 13:00:00,1.08691,1.08728,1.08655,1.08715,1831,18,0
2024-05-16 14:00:00,1.08715,1.08739,1.08608,1.08657,2190,18,0
2024-05-16 15:00:00,1.08658,1.08734,1.08597,1.08623,4606,18,0
2024-05-16 16:00:00,1.08623,1.0866,1.08536,1.08551,4176,18,0
2024-05-16 17:00:00,1.08551,1.08695,1.08535,1.08693,3824,18,0
2024-05-16 18:00:00,1.08694,1.08749,1.08656,1.08742,2603,18,0
2024-05-16 19:00:00,1.08741,1.08745,1.0869,1.08724,1919,18,0
2024-05-16 20:00:00,1.08724,1.08746,1.0867499999999999,1.08696,1362,18,0
2024-05-16 21:00:00,1.08697,1.08708,1.08648,1.087,1498,18,0
2024-05-16 22:00:00,1.08699,1.08699,1.08659,1.0866,1193,18,0
2024-05-16 23:00:00,1.0866,1.08664,1.08637,1.08653,644,18,0
2024-05-17 00:00:00,1.0865,1.08667,1.08609,1.08656,969,18,0
2024-05-17 01:00:00,1.08657,1.08682,1.08652,1.08666,374,18,0
2024-05-17 02:00:00,1.08667,1.0867,1.0865,1.08666,455,18,0
2024-05-17 03:00:00,1.08667,1.0868,1.08589,1.08619,1032,18,0
2024-05-17 04:00:00,1.08619,1.08628,1.08563,1.08585,1227,18,0
2024-05-17 05:00:00,1.08586,1.08596,1.08533,1.08563,1122,18,0
